E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,7.8460900e-04,9.7356606e-01
3.0000001e-01,2.0779500e-02,9.9888935e-01
3.6170539e-01,1.5199500e-01,9.9983308e-01
4.2700922e-01,2.0488700e-01,9.9986546e-01
5.0410324e-01,2.2491699e-01,9.9986686e-01
5.9511620e-01,2.2677000e-01,9.9985655e-01
7.0256096e-01,2.2434799e-01,9.9984247e-01
8.2940429e-01,2.2687200e-01,9.9983078e-01
1.0000000e+00,2.4675900e-01,9.9982921e-01
1.1318250e+00,2.7392200e-01,9.9983635e-01
1.3361694e+00,3.3794400e-01,9.9985591e-01
1.5774070e+00,3.6068800e-01,9.9985337e-01
1.8621986e+00,3.6425999e-01,9.9984231e-01
2.1984079e+00,3.6555400e-01,9.9982936e-01
2.5953176e+00,3.6630800e-01,9.9981509e-01
3.0000000e+00,3.6373901e-01,9.9979991e-01
3.6170540e+00,3.4701699e-01,9.9976992e-01
4.2700920e+00,3.2076001e-01,9.9972982e-01
5.0410328e+00,2.8872901e-01,9.9967427e-01
5.9511619e+00,2.5115001e-01,9.9959371e-01
7.0256095e+00,2.1250100e-01,9.9947915e-01
8.2940426e+00,1.7542601e-01,9.9931588e-01
1.0000000e+01,1.3673000e-01,9.9903893e-01
1.1318249e+01,1.1375200e-01,9.9877377e-01
1.3361693e+01,8.7407902e-02,9.9827232e-01
1.5774070e+01,6.5574497e-02,9.9750891e-01
1.8621986e+01,4.8626099e-02,9.9637015e-01
2.1984077e+01,3.5809401e-02,9.9468172e-01
2.5953175e+01,2.6338801e-02,9.9221294e-01
3.0000000e+01,2.0200200e-02,9.8918856e-01
3.5416325e+01,1.4986300e-02,9.8438485e-01
4.1810539e+01,1.1117000e-02,9.7753595e-01
4.9359188e+01,8.2805296e-03,9.6798321e-01
5.8270699e+01,6.1167600e-03,9.5433371e-01
6.8791138e+01,4.4768802e-03,9.3494570e-01
8.1210976e+01,3.2699399e-03,9.0838517e-01
1.0000000e+02,2.2084599e-03,8.6290608e-01
1.1318250e+02,1.7466800e-03,8.2844832e-01
1.3361693e+02,1.2749700e-03,7.7356752e-01
1.5774069e+02,9.2841499e-04,7.0955714e-01
1.8621985e+02,6.7901600e-04,6.4035456e-01
2.1984077e+02,4.8967899e-04,5.6612467e-01
2.5953177e+02,3.5692900e-04,4.9558287e-01
3.0000000e+02,2.6648500e-04,4.3478100e-01
3.6170541e+02,1.8153399e-04,3.6304583e-01
4.2700922e+02,1.2639900e-04,3.0482348e-01
5.0410324e+02,8.8172303e-05,2.5530490e-01
5.9511621e+02,6.0349801e-05,2.1153563e-01
7.0256097e+02,4.2050699e-05,1.7653335e-01
8.2940424e+02,2.9206300e-05,1.4702407e-01
1.0000000e+03,1.9585201e-05,1.2025917e-01
1.1559279e+03,1.4594700e-05,1.0370695e-01
1.3646240e+03,1.0139000e-05,8.6386541e-02
1.6109990e+03,7.1450600e-06,7.2477404e-02
1.9018555e+03,5.0852900e-06,6.1118259e-02
2.2452244e+03,3.6038700e-06,5.1442129e-02
2.6505867e+03,2.5963300e-06,4.3658397e-02
3.0000000e+03,2.0225500e-06,3.8535189e-02
3.6940818e+03,1.3385700e-06,3.1354665e-02
4.3610269e+03,9.6976203e-07,2.6692748e-02
5.1483853e+03,7.0099600e-07,2.2699271e-02
6.0778960e+03,5.1129598e-07,1.9389720e-02
7.1752246e+03,3.7177699e-07,1.6536586e-02
8.4706699e+03,2.6762601e-07,1.4031793e-02
1.0000000e+04,1.9516300e-07,1.1982350e-02
